"Ghirelli C., J.J. Perez and A. Urtasun (2019), """"A new economic policy uncertainty index for Spain"""", Economic Letters, 182, 64-67.",,
Year,Month,Index value
1997,1,31
1997,2,51
1997,3,44
1997,4,43
1997,5,120
1997,6,95
1997,7,69
1997,8,61
1997,9,66
1997,10,65
1997,11,49
1997,12,57
1998,1,58
1998,2,41
1998,3,60
1998,4,55
1998,5,71
1998,6,62
1998,7,60
1998,8,72
1998,9,90
1998,10,74
1998,11,60
1998,12,64
1999,1,54
1999,2,48
1999,3,44
1999,4,59
1999,5,64
1999,6,59
1999,7,53
1999,8,57
1999,9,53
1999,10,61
1999,11,72
1999,12,68
2000,1,71
2000,2,82
2000,3,60
2000,4,75
2000,5,61
2000,6,84
2000,7,71
2000,8,55
2000,9,68
2000,10,73
2000,11,78
2000,12,74
2001,1,92
2001,2,79
2001,3,84
2001,4,79
2001,5,73
2001,6,75
2001,7,82
2001,8,65
2001,9,105
2001,10,116
2001,11,100
2001,12,86
2002,1,85
2002,2,79
2002,3,68
2002,4,69
2002,5,74
2002,6,83
2002,7,76
2002,8,75
2002,9,90
2002,10,123
2002,11,97
2002,12,105
2003,1,94
2003,2,115
2003,3,100
2003,4,113
2003,5,104
2003,6,96
2003,7,92
2003,8,79
2003,9,88
2003,10,86
2003,11,93
2003,12,91
2004,1,84
2004,2,89
2004,3,71
2004,4,83
2004,5,86
2004,6,95
2004,7,90
2004,8,70
2004,9,87
2004,10,82
2004,11,84
2004,12,71
2005,1,65
2005,2,73
2005,3,70
2005,4,69
2005,5,76
2005,6,84
2005,7,70
2005,8,58
2005,9,78
2005,10,89
2005,11,103
2005,12,81
2006,1,80
2006,2,84
2006,3,68
2006,4,81
2006,5,86
2006,6,79
2006,7,72
2006,8,114
2006,9,74
2006,10,81
2006,11,76
2006,12,76
2007,1,66
2007,2,74
2007,3,74
2007,4,74
2007,5,63
2007,6,71
2007,7,54
2007,8,86
2007,9,129
2007,10,90
2007,11,88
2007,12,87
2008,1,102
2008,2,106
2008,3,82
2008,4,93
2008,5,80
2008,6,86
2008,7,86
2008,8,83
2008,9,103
2008,10,157
2008,11,119
2008,12,105
2009,1,97
2009,2,112
2009,3,116
2009,4,102
2009,5,107
2009,6,112
2009,7,87
2009,8,74
2009,9,97
2009,10,100
2009,11,89
2009,12,92
2010,1,111
2010,2,137
2010,3,99
2010,4,99
2010,5,150
2010,6,142
2010,7,105
2010,8,95
2010,9,106
2010,10,105
2010,11,141
2010,12,139
2011,1,132
2011,2,127
2011,3,129
2011,4,126
2011,5,113
2011,6,144
2011,7,157
2011,8,170
2011,9,143
2011,10,136
2011,11,178
2011,12,133
2012,1,149
2012,2,142
2012,3,152
2012,4,206
2012,5,226
2012,6,234
2012,7,234
2012,8,165
2012,9,171
2012,10,160
2012,11,146
2012,12,152
2013,1,136
2013,2,124
2013,3,130
2013,4,144
2013,5,135
2013,6,155
2013,7,128
2013,8,129
2013,9,132
2013,10,128
2013,11,133
2013,12,136
2014,1,132
2014,2,115
2014,3,114
2014,4,120
2014,5,117
2014,6,123
2014,7,118
2014,8,111
2014,9,108
2014,10,145
2014,11,140
2014,12,155
2015,1,155
2015,2,118
2015,3,128
2015,4,125
2015,5,125
2015,6,123
2015,7,108
2015,8,109
2015,9,148
2015,10,131
2015,11,127
2015,12,144
2016,1,158
2016,2,132
2016,3,117
2016,4,113
2016,5,111
2016,6,139
2016,7,118
2016,8,111
2016,9,107
2016,10,108
2016,11,108
2016,12,116
2017,1,108
2017,2,107
2017,3,100
2017,4,90
2017,5,105
2017,6,108
2017,7,101
2017,8,67
2017,9,95
2017,10,177
2017,11,131
2017,12,127
2018,1,113
2018,2,105
2018,3,93
2018,4,104
2018,5,140
2018,6,133
2018,7,97
2018,8,78
2018,9,110
2018,10,149
2018,11,138
2018,12,128
2019,1,131
2019,2,132
2019,3,117
2019,4,131
2019,5,124
2019,6,116
2019,7,133
2019,8,128
2019,9,165
2019,10,158
2019,11,165
2019,12,145
2020,1,142
2020,2,136
2020,3,252
2020,4,253
2020,5,262
2020,6,203
2020,7,181
2020,8,175
2020,9,179
2020,10,224
2020,11,175
2020,12,178
2021,1,152
2021,2,148
2021,3,153
2021,4,140
2021,5,140
2021,6,138
2021,7,155
2021,8,117
2021,9,121
2021,10,148
2021,11,156
2021,12,160
2022,1,124
2022,2,134
2022,3,170
2022,4,165
2022,5,152
2022,6,167
2022,7,176
2022,8,142
2022,9,151
2022,10,178
2022,11,171
2022,12,148
2023,1,155
2023,2,139
2023,3,149
2023,4,138
2023,5,140
2023,6,133
2023,7,151
2023,8,108
2023,9,120
2023,10,147
2023,11,146
2023,12,141
2024,1,129
2024,2,120
2024,3,146
2024,4,142
2024,5,187
2024,6,152
2024,7,128
2024,8,159
2024,9,148
2024,10,156
2024,11,181
2024,12,181
2025,1,192
2025,2,148
2025,3,175
2025,4,212
2025,5,184
2025,6,176
2025,7,179
2025,8,152
2025,9,164
2025,10,187
2025,11,184
2025,12,168
2026,1,155
