"Time","madrid","barcelona","playa","ibiza","valencia","fiesta","hotel","restaurante"
"2004-01-01",73,39,3,2,21,2,29,5
"2004-02-01",73,41,4,3,21,3,34,6
"2004-03-01",80,40,4,3,20,3,35,6
"2004-04-01",72,44,5,4,22,3,36,6
"2004-05-01",73,44,5,5,23,3,36,6
"2004-06-01",74,43,9,8,22,3,46,6
"2004-07-01",73,47,10,8,26,4,58,7
"2004-08-01",71,43,11,7,21,4,53,6
"2004-09-01",80,49,4,4,25,3,39,7
"2004-10-01",77,45,3,3,24,3,36,7
"2004-11-01",75,42,2,2,21,3,33,8
"2004-12-01",65,37,2,2,19,4,27,9
"2005-01-01",69,41,3,2,20,2,30,6
"2005-02-01",72,43,3,3,22,3,36,7
"2005-03-01",68,41,4,3,21,3,41,7
"2005-04-01",74,41,5,4,21,3,39,7
"2005-05-01",70,40,7,5,20,3,42,7
"2005-06-01",74,40,9,7,23,3,50,7
"2005-07-01",73,41,11,8,25,4,57,8
"2005-08-01",71,41,10,8,21,4,56,7
"2005-09-01",77,44,4,4,23,3,39,7
"2005-10-01",73,41,2,2,22,3,34,7
"2005-11-01",71,41,2,2,20,2,32,8
"2005-12-01",65,34,2,2,18,3,26,9
"2006-01-01",70,36,3,2,20,2,31,7
"2006-02-01",72,38,4,2,21,2,37,7
"2006-03-01",70,37,5,3,21,3,39,7
"2006-04-01",65,37,6,4,21,3,41,7
"2006-05-01",65,39,7,5,20,3,40,7
"2006-06-01",61,34,9,6,21,3,44,7
"2006-07-01",69,37,11,8,24,4,55,8
"2006-08-01",64,35,9,7,20,4,54,7
"2006-09-01",69,38,4,4,23,4,38,7
"2006-10-01",67,39,3,2,21,3,32,8
"2006-11-01",66,32,2,2,19,3,30,9
"2006-12-01",61,30,2,2,18,3,24,10
"2007-01-01",60,33,3,2,18,2,29,6
"2007-02-01",61,33,3,3,19,3,34,8
"2007-03-01",61,34,4,3,21,3,38,7
"2007-04-01",60,34,5,4,20,3,37,7
"2007-05-01",61,33,6,5,20,3,37,7
"2007-06-01",64,35,9,6,21,4,43,8
"2007-07-01",61,35,11,7,21,4,50,8
"2007-08-01",63,33,9,6,18,4,46,8
"2007-09-01",66,37,4,4,22,4,35,7
"2007-10-01",64,34,3,2,20,3,33,8
"2007-11-01",61,30,2,2,19,3,29,9
"2007-12-01",60,29,2,2,18,3,24,9
"2008-01-01",58,32,3,2,21,3,30,6
"2008-02-01",61,32,4,3,20,3,34,8
"2008-03-01",60,32,4,3,20,3,34,7
"2008-04-01",58,33,5,4,21,3,34,7
"2008-05-01",58,31,6,5,20,3,33,7
"2008-06-01",55,29,7,5,20,3,35,7
"2008-07-01",55,32,10,6,19,4,44,7
"2008-08-01",52,28,9,6,20,4,40,7
"2008-09-01",57,32,4,3,20,4,30,6
"2008-10-01",60,31,2,2,18,3,23,7
"2008-11-01",55,30,2,2,17,3,22,8
"2008-12-01",54,26,2,2,17,3,20,8
"2009-01-01",54,28,2,2,17,3,22,6
"2009-02-01",53,29,3,2,17,3,26,7
"2009-03-01",52,31,4,3,17,3,27,6
"2009-04-01",57,31,4,3,18,3,27,6
"2009-05-01",62,36,5,4,19,3,28,6
"2009-06-01",61,32,8,5,19,4,32,6
"2009-07-01",59,34,10,5,19,3,38,6
"2009-08-01",53,30,9,5,18,4,37,6
"2009-09-01",61,34,4,3,20,3,26,6
"2009-10-01",61,32,3,2,18,3,23,6
"2009-11-01",64,32,2,2,19,3,22,7
"2009-12-01",56,30,2,2,17,3,18,8
"2010-01-01",61,31,3,2,17,2,21,6
"2010-02-01",64,31,3,2,18,3,23,7
"2010-03-01",57,33,4,2,19,3,25,6
"2010-04-01",63,33,4,3,16,3,23,6
"2010-05-01",61,32,5,3,18,4,24,6
"2010-06-01",57,30,7,4,19,4,28,6
"2010-07-01",54,30,10,5,18,4,35,6
"2010-08-01",53,27,9,5,15,4,33,6
"2010-09-01",60,32,4,3,19,3,24,6
"2010-10-01",57,31,3,2,17,3,20,6
"2010-11-01",63,31,2,2,17,3,19,7
"2010-12-01",57,29,2,2,17,3,16,7
"2011-01-01",68,36,3,2,20,3,19,7
"2011-02-01",68,36,3,2,22,3,23,8
"2011-03-01",66,36,4,3,21,4,24,7
"2011-04-01",73,39,5,3,22,4,24,7
"2011-05-01",70,38,6,4,21,4,24,7
"2011-06-01",66,36,9,5,24,5,29,7
"2011-07-01",66,39,12,6,23,5,36,8
"2011-08-01",69,38,12,6,21,5,32,8
"2011-09-01",67,40,5,4,23,4,22,7
"2011-10-01",69,35,3,3,21,4,22,7
"2011-11-01",61,34,3,2,21,3,20,8
"2011-12-01",64,32,3,2,19,4,16,8
"2012-01-01",75,38,3,2,19,3,20,7
"2012-02-01",62,35,4,2,22,4,20,7
"2012-03-01",62,35,4,3,20,4,22,7
"2012-04-01",71,38,5,3,19,4,20,7
"2012-05-01",68,34,6,4,19,4,22,7
"2012-06-01",59,32,9,5,21,4,27,7
"2012-07-01",58,34,13,6,22,5,34,8
"2012-08-01",58,36,12,6,19,5,31,9
"2012-09-01",70,36,5,4,22,4,22,7
"2012-10-01",67,34,3,3,19,4,19,7
"2012-11-01",61,31,2,2,19,3,17,8
"2012-12-01",56,30,2,2,18,3,14,9
"2013-01-01",62,32,3,2,19,3,16,7
"2013-02-01",60,33,3,2,18,3,19,8
"2013-03-01",59,35,4,3,20,4,21,8
"2013-04-01",61,35,5,4,19,4,20,7
"2013-05-01",62,35,6,4,20,4,22,8
"2013-06-01",59,33,10,5,19,4,27,8
"2013-07-01",56,36,15,6,21,5,34,9
"2013-08-01",58,34,13,7,20,5,31,10
